5 0.330955 0.0307752 0.840053 0.855295
10 0.311711 0.0400167 0.888055 0.942515
20 0.338943 0.00362884 0.824052 0.850732
50 0.285129 0.0310523 0.944059 0.978861
100 0.221853 0.0242613 1.16807 1.18021
1000 0.0974992 0.0650787 5.38834 5.43295
5000 0.0700733 0.0820117 23.2415 23.6063
10000 0.0613746 0.0902043 45.2348 45.9367
5 0.339003 0.00392401 0.828052 0.844548
10 0.311988 0.0349825 0.876055 0.89465
20 0.327794 0.0197586 0.860054 0.880357
50 0.275924 0.0277374 0.928058 0.946186
100 0.222444 0.0415868 1.14807 1.17122
1000 0.0921879 0.0616982 5.37634 5.42522
5000 0.0683541 0.0800589 23.4535 23.5578
10000 0.063746 0.0884147 45.1708 45.6288
5 0.323374 0.040097 1.05207 1.07827
10 0.332584 0.0190997 1.14807 1.16018
20 0.314973 0.0252488 0.776049 0.800428
50 0.300186 0.0251217 0.952059 0.986174
100 0.246049 0.0246131 1.18407 1.21257
1000 0.101954 0.0530489 5.89237 5.96837
5000 0.0666552 0.0868319 23.4295 23.5565
10000 0.063692 0.091066 47.831 48.1847
5 0.331078 0.0307138 1.95212 1.98535
10 0.31727 0.0369258 0.79605 0.82631
20 0.327558 0.0251611 0.900056 0.918139
50 0.275602 0.0279625 1.14807 1.19186
100 0.212724 0.028314 1.20007 1.22103
1000 0.0953299 0.0513167 5.37234 5.41368
5000 0.0678682 0.0820634 23.9855 24.083
10000 0.0655542 0.0873258 45.8189 46.1464
5 0.339203 0.00453454 0.792049 0.809315
10 0.326384 0.0345674 0.852053 0.873038
20 0.320684 0.0286082 0.824052 0.849322
50 0.312476 0.0326398 0.95606 0.976601
100 0.257864 0.0214044 1.16007 1.17561
1000 0.101034 0.0553946 5.51234 5.55422
5000 0.0679976 0.0847672 23.6855 23.7999
10000 0.0658093 0.0890634 46.1669 46.4021
