0 -2   2.13243
0 -1.89796   2.08609
0 -1.79592   2.03857
0 -1.69388   1.98738
0 -1.59184   1.93014
0 -1.4898   1.86476
0 -1.38776   1.78955
0 -1.28571   1.70336
0 -1.18367   1.60566
0 -1.08163   1.4966
0 -0.979592   1.37699
0 -0.877551   1.24836
0 -0.77551   1.11277
0 -0.673469   0.972826
0 -0.571429   0.831465
0 -0.469388   0.691845
0 -0.367347   0.557172
0 -0.265306   0.430543
0 -0.163265   0.314799
0 -0.0612245   0.2124
0 0.0408163   0.12533
0 0.142857   0.0550395
0 0.244898   0.00241856
0 0.346939   -0.0321874
0 0.44898   -0.0489323
0 0.55102   -0.0483959
0 0.653061   -0.0314911
0 0.755102   0.000639391
0 0.857143   0.0467289
0 0.959184   0.105485
0 1.06122   0.175677
0 1.16327   0.2562
0 1.26531   0.346116
0 1.36735   0.444681
0 1.46939   0.551335
0 1.57143   0.665681
0 1.67347   0.787444
0 1.77551   0.916425
0 1.87755   1.05244
0 1.97959   1.19527
0 2.08163   1.3446
0 2.18367   1.50002
0 2.28571   1.66092
0 2.38776   1.82656
0 2.4898   1.99602
0 2.59184   2.16824
0 2.69388   2.34201
0 2.79592   2.51606
0 2.89796   2.68905
0 3   2.85963

0.142857 -2   1.99351
0.142857 -1.89796   1.95056
0.142857 -1.79592   1.9087
0.142857 -1.69388   1.8655
0.142857 -1.59184   1.81867
0.142857 -1.4898   1.7661
0.142857 -1.38776   1.70607
0.142857 -1.28571   1.63731
0.142857 -1.18367   1.55912
0.142857 -1.08163   1.4714
0.142857 -0.979592   1.37468
0.142857 -0.877551   1.27012
0.142857 -0.77551   1.15941
0.142857 -0.673469   1.04469
0.142857 -0.571429   0.928456
0.142857 -0.469388   0.813386
0.142857 -0.367347   0.702214
0.142857 -0.265306   0.597578
0.142857 -0.163265   0.501892
0.142857 -0.0612245   0.417233
0.142857 0.0408163   0.345261
0.142857 0.142857   0.287169
0.142857 0.244898   0.243665
0.142857 0.346939   0.214998
0.142857 0.44898   0.200999
0.142857 0.55102   0.201158
0.142857 0.653061   0.214713
0.142857 0.755102   0.24074
0.142857 0.857143   0.278258
0.142857 0.959184   0.326308
0.142857 1.06122   0.384027
0.142857 1.16327   0.4507
0.142857 1.26531   0.52579
0.142857 1.36735   0.608939
0.142857 1.46939   0.699958
0.142857 1.57143   0.798788
0.142857 1.67347   0.905451
0.142857 1.77551   1.02
0.142857 1.87755   1.14245
0.142857 1.97959   1.27272
0.142857 2.08163   1.41062
0.142857 2.18367   1.55576
0.142857 2.28571   1.70757
0.142857 2.38776   1.86525
0.142857 2.4898   2.02785
0.142857 2.59184   2.19422
0.142857 2.69388   2.36306
0.142857 2.79592   2.53299
0.142857 2.89796   2.70257
0.142857 3   2.87036

0.285714 -2   1.9201
0.285714 -1.89796   1.88177
0.285714 -1.79592   1.84673
0.285714 -1.69388   1.81275
0.285714 -1.59184   1.77762
0.285714 -1.4898   1.7393
0.285714 -1.38776   1.69603
0.285714 -1.28571   1.64647
0.285714 -1.18367   1.58975
0.285714 -1.08163   1.52553
0.285714 -0.979592   1.45406
0.285714 -0.877551   1.37609
0.285714 -0.77551   1.29287
0.285714 -0.673469   1.20607
0.285714 -0.571429   1.11765
0.285714 -0.469388   1.02976
0.285714 -0.367347   0.944569
0.285714 -0.265306   0.864208
0.285714 -0.163265   0.790594
0.285714 -0.0612245   0.725367
0.285714 0.0408163   0.669817
0.285714 0.142857   0.624844
