5 1.78062 1.40433e-15 0 0.001485
10 1.58162 1.61956e-15 0 0.001412
20 1.26712 1.7694e-15 0 0.001969
50 0.877497 6.68719e-15 0.004 0.00439
100 0.859009 0.0241262 0.012 0.01106
1000 0.671743 0.0607495 0.048003 0.053944
5000 0.672825 0.0635379 0.256016 0.388372
10000 0.673013 0.0652336 0.500031 0.516397
5 1.7586 6.04027e-16 0.004 0.001403
10 1.58707 4.81125e-15 0 0.001517
20 1.39696 2.04896e-15 0.004 0.001901
50 1.03246 3.685e-15 0.004 0.004332
100 0.734157 0.0192916 0.012001 0.013478
1000 0.682608 0.0601397 0.056003 0.053986
5000 0.672604 0.0637163 0.240015 0.243697
10000 0.673645 0.0654459 0.508032 0.515153
5 1.85019 5.52887e-16 0 0.001351
10 1.65477 9.39435e-16 0 0.001472
20 1.36066 3.18191e-15 0 0.001896
50 1.02646 2.85221e-15 0.004 0.00521
100 0.870554 0.0237413 0.008001 0.011442
1000 0.677565 0.0594344 0.048003 0.054335
5000 0.675018 0.0643044 0.236015 0.248833
