5 1.2649 1.12347e-15 0 0.001284
10 1.13706 1.12127e-15 0 0.001399
20 0.650224 0.00858815 0.004 0.001759
50 0.260213 0.0627007 0.004 0.001886
100 0.256781 0.0637215 0.004 0.002076
1000 0.250741 0.0695108 0.004 0.005017
5000 0.249035 0.0708796 0.020002 0.019577
10000 0.249803 0.0710869 0.032002 0.03635
5 1.17686 4.96507e-16 0.004 0.001467
10 1.14522 2.22488e-15 0.004 0.001446
20 0.674108 0.0355648 0.004 0.001611
50 0.276967 0.0501841 0.004001 0.002028
100 0.260375 0.0673912 0 0.002103
1000 0.253063 0.0679331 0.004 0.00511
5000 0.251349 0.0693986 0.016001 0.018927
10000 0.248607 0.0705393 0.032002 0.03693
5 1.40073 2.01315e-15 0 0.001315
10 1.06992 2.01193e-15 0 0.001402
20 1.641 2.72129e-15 0 0.001553
50 0.519438 0.0510729 0.004001 0.002043
100 0.258799 0.0626564 0 0.002201
1000 0.253792 0.0697886 0.004 0.005198
5000 0.249235 0.0712454 0.020002 0.019304
