 -1.3 -1.3  0.836978
 -1.3 -1.25  0.983318
 -1.3 -1.2  1.11418
 -1.3 -1.15  1.21786
 -1.3 -1.1  1.28512
 -1.3 -1.05  1.30993
 -1.3 -1  1.29009
 -1.3 -0.95  1.22736
 -1.3 -0.9  1.12735
 -1.3 -0.85  0.998989
 -1.3 -0.8  0.853749
 -1.3 -0.75  0.704602
 -1.3 -0.7  0.56487
 -1.3 -0.65  0.447034
 -1.3 -0.6  0.361621
 -1.3 -0.55  0.31626
 -1.3 -0.5  0.315004
 -1.3 -0.45  0.357964
 -1.3 -0.4  0.441303
 -1.3 -0.35  0.557577
 -1.3 -0.3  0.696399
 -1.3 -0.25  0.845369
 -1.3 -0.2  0.991179
 -1.3 -0.15  1.1208
 -1.3 -0.1  1.22267
 -1.3 -0.05  1.28767
 -1.3 5.41234e-16  1.31
 -1.3 0.05  1.28767
 -1.3 0.1  1.22267
 -1.3 0.15  1.1208
 -1.3 0.2  0.991179
 -1.3 0.25  0.845369
 -1.3 0.3  0.696399
 -1.3 0.35  0.557577
 -1.3 0.4  0.441303
 -1.3 0.45  0.357964
 -1.3 0.5  0.315004
 -1.3 0.55  0.31626
 -1.3 0.6  0.361621
 -1.3 0.65  0.447034
 -1.3 0.7  0.56487
 -1.3 0.75  0.704602
 -1.3 0.8  0.853749
 -1.3 0.85  0.998989
 -1.3 0.9  1.12735
 -1.3 0.95  1.22736
 -1.3 1  1.29009
 -1.3 1.05  1.30993
 -1.3 1.1  1.28512
 -1.3 1.15  1.21786
 -1.3 1.2  1.11418
 -1.3 1.25  0.983318

 -1.25 -1.3  0.964478
 -1.25 -1.25  1.11082
 -1.25 -1.2  1.24168
 -1.25 -1.15  1.34536
 -1.25 -1.1  1.41262
 -1.25 -1.05  1.43743
 -1.25 -1  1.41759
 -1.25 -0.95  1.35486
 -1.25 -0.9  1.25485
 -1.25 -0.85  1.12649
 -1.25 -0.8  0.981249
 -1.25 -0.75  0.832102
 -1.25 -0.7  0.69237
 -1.25 -0.65  0.574534
 -1.25 -0.6  0.489121
 -1.25 -0.55  0.44376
 -1.25 -0.5  0.442504
 -1.25 -0.45  0.485464
 -1.25 -0.4  0.568803
 -1.25 -0.35  0.685077
 -1.25 -0.3  0.823899
 -1.25 -0.25  0.972869
 -1.25 -0.2  1.11868
 -1.25 -0.15  1.2483
 -1.25 -0.1  1.35017
 -1.25 -0.05  1.41517
 -1.25 5.41234e-16  1.4375
 -1.25 0.05  1.41517
 -1.25 0.1  1.35017
 -1.25 0.15  1.2483
 -1.25 0.2  1.11868
 -1.25 0.25  0.972869
 -1.25 0.3  0.823899
 -1.25 0.35  0.685077
